Time (s),T_min (C),T_max (C),T_ave (C),Sequence_ID,Case_No.
153.93,150,151.54,150.14,14,1
293.93,150,152.98,150.36,14,1
433.93,150,154.42,150.62,14,1
583.93,150,155.96,150.94,14,1
723.93,150.01,157.4,151.28,14,1
873.93,150.04,158.95,151.67,14,1
1013.9,150.07,160.39,152.06,14,1
1153.9,150.12,161.84,152.48,14,1
1303.9,150.19,163.39,152.94,14,1
1443.9,150.28,164.83,153.4,14,1
1593.9,150.4,166.38,153.92,14,1
1733.9,150.54,167.83,154.41,14,1
1873.9,150.69,169.27,154.93,14,1
2023.9,150.88,170.82,155.5,14,1
2163.9,151.08,172.27,156.06,14,1
2313.9,151.32,173.82,156.67,14,1
2453.9,151.56,175.27,157.25,14,1
2593.9,151.83,176.71,157.86,14,1
2743.9,152.14,178.27,158.52,14,1
2883.9,152.45,179.71,159.15,14,1
3033.9,152.8,181.27,159.85,14,1
3173.9,153.15,182.71,160.51,14,1
3313.9,153.52,184.16,161.19,14,1
3463.9,153.94,185.71,161.93,14,1
3603.9,154.35,187.16,162.64,14,1
3753.9,154.81,188.72,163.42,14,1
3893.9,155.26,190.17,164.15,14,1
4033.9,155.73,191.61,164.9,14,1
4183.9,156.25,193.17,165.72,14,1
4323.9,156.76,194.62,166.49,14,1
4473.9,157.31,196.18,167.31,14,1
4613.9,157.84,197.63,168.08,14,1
4753.9,158.39,199.08,168.87,14,1
4903.9,158.99,200.63,169.73,14,1
5043.9,159.56,202.08,170.54,14,1
5193.9,160.2,203.63,171.43,14,1
5333.9,160.8,205.09,172.27,14,1
5473.9,161.42,206.54,173.12,14,1
5623.9,162.1,208.09,174.04,14,1
5763.9,162.74,209.54,174.92,14,1
5913.9,163.45,211.1,175.86,14,1
6053.9,164.13,212.55,176.76,14,1
6193.9,164.82,214,177.66,14,1
6343.9,165.57,215.55,178.64,14,1
6483.9,166.29,217.01,179.57,14,1
6633.9,167.07,218.56,180.57,14,1
6773.9,167.81,220.01,181.51,14,1
6913.9,168.56,221.47,182.47,14,1
7063.9,169.39,223.02,183.5,14,1
7203.9,170.17,224.47,184.47,14,1
7353.9,171.02,226.03,185.52,14,1
7493.9,171.82,227.48,186.51,14,1
7633.9,172.64,228.94,187.5,14,1
7783.9,173.52,230.49,188.58,14,1
7923.9,174.36,231.95,189.59,14,1
8073.9,175.27,233.5,190.69,14,1
8213.9,176.13,234.96,191.72,14,1
8353.9,177.01,236.41,192.75,14,1
8503.9,177.95,237.97,193.87,14,1
8643.9,178.84,239.42,194.92,14,1
8793.9,179.79,240.99,196.02,14,1
8933.9,180.67,242.44,197.04,14,1
9073.9,181.55,243.9,198.06,14,1
9223.9,182.5,245.45,199.18,14,1
9363.9,183.4,246.91,200.22,14,1
9513.9,184.38,248.46,201.35,14,1
9653.9,185.29,249.92,202.41,14,1
9793.9,186.21,251.37,203.48,14,1
9943.9,187.21,252.93,204.63,14,1
10084,188.15,254.38,205.71,14,1
10234,189.17,255.94,206.88,14,1
10374,190.12,257.39,207.97,14,1
10514,191.09,258.85,209.08,14,1
10664,192.13,260.4,210.26,14,1
10804,193.11,261.86,211.38,14,1
10954,194.17,263.42,212.58,14,1
11094,195.17,264.87,213.7,14,1
11234,196.17,266.33,214.83,14,1
11384,197.26,267.88,216.05,14,1
11524,198.27,269.34,217.2,14,1
11674,199.38,270.9,218.43,14,1
11814,200.41,272.35,219.58,14,1
11954,201.45,273.81,220.74,14,1
12104,202.58,275.37,221.98,14,1
12244,203.63,276.82,223.15,14,1
12394,204.77,278.38,224.41,14,1
12534,205.84,279.83,225.59,14,1
12674,206.92,281.29,226.77,14,1
12824,208.08,282.85,228.05,14,1
12964,209.17,284.3,229.24,14,1
13114,210.32,285.88,230.5,14,1
13254,211.37,287.34,231.64,14,1
13394,212.42,288.79,232.79,14,1
13544,213.56,290.35,234.04,14,1
13684,214.63,291.8,235.2,14,1
13834,215.77,293.36,236.46,14,1
13974,216.85,294.82,237.64,14,1
14114,217.93,296.27,238.82,14,1
14264,219.09,297.83,240.09,14,1
14400,220.15,299.25,241.25,14,1
