Time (s),T_min (C),T_max (C),T_ave (C),Sequence_ID,Case_No.
153.93,160,161.03,160.09,10,1
293.93,160,161.98,160.24,10,1
433.93,160,162.94,160.41,10,1
583.93,160,163.97,160.63,10,1
723.93,160.01,164.93,160.85,10,1
873.93,160.02,165.97,161.11,10,1
1013.9,160.04,166.93,161.36,10,1
1153.9,160.08,167.89,161.64,10,1
1303.9,160.12,168.92,161.95,10,1
1443.9,160.18,169.89,162.25,10,1
1593.9,160.26,170.92,162.59,10,1
1733.9,160.34,171.88,162.92,10,1
1873.9,160.44,172.85,163.26,10,1
2023.9,160.57,173.88,163.64,10,1
2163.9,160.69,174.85,164.01,10,1
2313.9,160.85,175.88,164.41,10,1
2453.9,161.01,176.84,164.8,10,1
2593.9,161.18,177.81,165.2,10,1
2743.9,161.38,178.84,165.64,10,1
2883.9,161.58,179.81,166.05,10,1
3033.9,161.81,180.84,166.51,10,1
3173.9,162.04,181.81,166.95,10,1
3313.9,162.29,182.77,167.4,10,1
3463.9,162.56,183.81,167.89,10,1
3603.9,162.83,184.78,168.36,10,1
3753.9,163.13,185.81,168.87,10,1
3893.9,163.42,186.78,169.36,10,1
4033.9,163.73,187.74,169.85,10,1
4183.9,164.07,188.78,170.39,10,1
4323.9,164.4,189.75,170.91,10,1
4473.9,164.77,190.78,171.46,10,1
4613.9,165.12,191.75,171.99,10,1
4753.9,165.48,192.71,172.53,10,1
4903.9,165.89,193.75,173.11,10,1
5043.9,166.27,194.72,173.67,10,1
5193.9,166.7,195.75,174.27,10,1
5333.9,167.11,196.72,174.83,10,1
5473.9,167.52,197.69,175.41,10,1
5623.9,167.98,198.72,176.03,10,1
5763.9,168.42,199.69,176.62,10,1
5913.9,168.9,200.73,177.26,10,1
6053.9,169.36,201.7,177.86,10,1
6193.9,169.82,202.66,178.47,10,1
6343.9,170.33,203.7,179.13,10,1
6483.9,170.82,204.67,179.76,10,1
6633.9,171.34,205.71,180.41,10,1
6773.9,171.83,206.68,181.02,10,1
6913.9,172.33,207.65,181.64,10,1
7063.9,172.87,208.68,182.31,10,1
7203.9,173.38,209.65,182.95,10,1
7353.9,173.94,210.69,183.63,10,1
7493.9,174.46,211.66,184.28,10,1
7633.9,175,212.63,184.93,10,1
7783.9,175.58,213.66,185.64,10,1
7923.9,176.12,214.63,186.31,10,1
8073.9,176.72,215.67,187.02,10,1
8213.9,177.28,216.64,187.7,10,1
8353.9,177.85,217.61,188.38,10,1
8503.9,178.46,218.64,189.12,10,1
8643.9,179.04,219.61,189.81,10,1
8793.9,179.68,220.65,190.55,10,1
8933.9,180.27,221.62,191.26,10,1
9073.9,180.87,222.59,191.96,10,1
9223.9,181.53,223.63,192.72,10,1
9363.9,182.14,224.6,193.44,10,1
9513.9,182.81,225.64,194.21,10,1
9653.9,183.43,226.6,194.94,10,1
9793.9,184.07,227.57,195.66,10,1
9943.9,184.75,228.61,196.45,10,1
10084,185.4,229.58,197.19,10,1
10234,186.09,230.62,197.98,10,1
10374,186.75,231.59,198.73,10,1
10514,187.41,232.56,199.48,10,1
10664,188.13,233.6,200.28,10,1
10804,188.8,234.57,201.04,10,1
10954,189.53,235.61,201.86,10,1
11094,190.21,236.58,202.62,10,1
11234,190.9,237.55,203.39,10,1
11384,191.64,238.58,204.22,10,1
11524,192.34,239.55,204.99,10,1
11674,193.09,240.59,205.83,10,1
11814,193.8,241.56,206.61,10,1
11954,194.51,242.53,207.39,10,1
12104,195.28,243.57,208.24,10,1
12244,196,244.54,209.03,10,1
12394,196.78,245.58,209.88,10,1
12534,197.51,246.55,210.68,10,1
12674,198.25,247.52,211.48,10,1
12824,199.04,248.56,212.35,10,1
12964,199.78,249.53,213.15,10,1
13114,200.57,250.59,214.01,10,1
13254,201.28,251.55,214.78,10,1
13394,202,252.52,215.56,10,1
13544,202.77,253.56,216.39,10,1
13684,203.49,254.53,217.18,10,1
13834,204.27,255.57,218.03,10,1
13974,205,256.54,218.82,10,1
14114,205.73,257.51,219.62,10,1
14264,206.52,258.55,220.47,10,1
14400,207.24,259.49,221.25,10,1
