Time (s),T_min (C),T_max (C),T_ave (C),Sequence_ID,Case_No.,TimeN (s),Time_aveN (C)
153.97,100.0,100.51,100.05,1,1,-1.7139061353518437,-1.3741652964903255
293.97,100.0,100.99,100.12,1,1,-1.6802246002042618,-1.3670423692620435
433.97,100.0,101.47,100.21,1,1,-1.64654306505668,-1.3578843199685404
583.97,100.0,101.99,100.33,1,1,-1.610455705969985,-1.3456735875772008
723.97,100.01,102.47,100.44,1,1,-1.5767741708224035,-1.3344804162184734
873.97,100.02,102.98,100.58,1,1,-1.5406868117357087,-1.320234561761911
1014.0,100.03,103.46,100.71,1,1,-1.5069980591163095,-1.3070062683379606
1154.0,100.05,103.95,100.85,1,1,-1.4733165239687276,-1.2927604138813982
1304.0,100.08,104.46,101.02,1,1,-1.4372291648820328,-1.275461876327001
1444.0,100.12,104.94,101.18,1,1,-1.4035476297344511,-1.2591808998052145
1594.0,100.16,105.46,101.35,1,1,-1.3674602706477563,-1.2418823622508186
1734.0,100.22,105.94,101.52,1,1,-1.3337787355001745,-1.2245838246964214
1874.0,100.28,106.42,101.7,1,1,-1.3000972003525926,-1.206267726109412
2024.0,100.35,106.94,101.9,1,1,-1.2640098412658978,-1.1859165054571799
2164.0,100.43,107.42,102.09,1,1,-1.2303283061183161,-1.1665828458375598
2314.0,100.52,107.94,102.3,1,1,-1.1942409470316213,-1.1452140641527169
2454.0,100.61,108.42,102.51,1,1,-1.1605594118840394,-1.1238452824678726
2594.0,100.71,108.9,102.72,1,1,-1.1268778767364576,-1.10247650078303
2744.0,100.82,109.42,102.95,1,1,-1.0907905176497628,-1.0790725970329629
2884.0,100.94,109.9,103.17,1,1,-1.057108982502181,-1.0566862543155078
3034.0,101.07,110.42,103.41,1,1,-1.0210216234154863,-1.03226478953283
3174.0,101.2,110.9,103.64,1,1,-0.9873400882679044,-1.0088608857827632
3314.0,101.34,111.39,103.88,1,1,-0.9536585531203225,-0.9844394210000854
3464.0,101.49,111.9,104.13,1,1,-0.9175711940336277,-0.9590003951847955
3604.0,101.64,112.39,104.38,1,1,-0.883889658886046,-0.9335613693695057
3754.0,101.81,112.91,104.65,1,1,-0.8478022997993512,-0.9060872214889917
3894.0,101.97,113.39,104.9,1,1,-0.8141207646517694,-0.8806481956737019
4034.0,102.14,113.87,105.16,1,1,-0.7804392295041875,-0.8541916088258014
4184.0,102.33,114.39,105.45,1,1,-0.7443518704174927,-0.8246823388800645
4324.0,102.52,114.87,105.72,1,1,-0.710670335269911,-0.7972081909995519
4474.0,102.72,115.39,106.01,1,1,-0.6745829761832162,-0.7676989210538151
4614.0,102.91,115.87,106.29,1,1,-0.6409014410356343,-0.7392072121406903
4754.0,103.12,116.36,106.57,1,1,-0.6072199058880525,-0.710715503227567
4904.0,103.34,116.88,106.87,1,1,-0.5711325468013577,-0.6801886722492181
5044.0,103.55,117.36,107.16,1,1,-0.537451011653776,-0.6506794023034826
