Time (s),T_min (C),T_max (C),T_ave (C),Sequence_ID,Case_No.
153.94,250,251.03,250.09,13,1
293.94,250,251.99,250.22,13,1
433.94,250,252.95,250.39,13,1
583.94,250,253.97,250.59,13,1
723.94,250,254.94,250.8,13,1
873.94,250.01,255.97,251.05,13,1
1013.9,250.03,256.93,251.29,13,1
1153.9,250.05,257.89,251.55,13,1
1303.9,250.08,258.93,251.85,13,1
1443.9,250.13,259.89,252.14,13,1
1593.9,250.18,260.92,252.46,13,1
1733.9,250.25,261.89,252.77,13,1
1873.9,250.33,262.85,253.09,13,1
2023.9,250.42,263.89,253.45,13,1
2163.9,250.53,264.85,253.79,13,1
2313.9,250.65,265.88,254.17,13,1
2453.9,250.78,266.85,254.54,13,1
2593.9,250.92,267.81,254.91,13,1
2743.9,251.09,268.85,255.33,13,1
2883.9,251.26,269.81,255.72,13,1
3033.9,251.45,270.85,256.15,13,1
3173.9,251.64,271.81,256.57,13,1
3313.9,251.85,272.78,256.99,13,1
3463.9,252.08,273.81,257.45,13,1
3603.9,252.31,274.78,257.89,13,1
3753.9,252.57,275.82,258.37,13,1
3893.9,252.82,276.78,258.83,13,1
4033.9,253.08,277.75,259.29,13,1
4183.9,253.38,278.78,259.8,13,1
4323.9,253.67,279.75,260.28,13,1
4473.9,253.99,280.79,260.8,13,1
4613.9,254.29,281.75,261.3,13,1
4753.9,254.61,282.72,261.8,13,1
4903.9,254.97,283.76,262.35,13,1
5043.9,255.3,284.72,262.87,13,1
5193.9,255.68,285.76,263.44,13,1
5333.9,256.04,286.73,263.97,13,1
5473.9,256.41,287.69,264.51,13,1
5623.9,256.81,288.73,265.1,13,1
5763.9,257.2,289.7,265.65,13,1
5913.9,257.63,290.73,266.25,13,1
6053.9,258.04,291.7,266.82,13,1
6193.9,258.45,292.67,267.39,13,1
6343.9,258.91,293.7,268.01,13,1
6483.9,259.34,294.67,268.6,13,1
6633.9,259.81,295.72,269.22,13,1
6773.9,260.26,296.68,269.8,13,1
6913.9,260.71,297.65,270.38,13,1
7063.9,261.2,298.69,271.02,13,1
7203.9,261.67,299.66,271.62,13,1
7353.9,262.17,300.69,272.27,13,1
7493.9,262.65,301.66,272.89,13,1
7633.9,263.14,302.63,273.51,13,1
7783.9,263.67,303.67,274.18,13,1
7923.9,264.17,304.64,274.81,13,1
8073.9,264.71,305.67,275.49,13,1
8213.9,265.23,306.64,276.14,13,1
8353.9,265.75,307.61,276.78,13,1
8503.9,266.31,308.65,277.48,13,1
8643.9,266.85,309.62,278.14,13,1
8793.9,267.43,310.65,278.85,13,1
8933.9,267.98,311.62,279.52,13,1
9073.9,268.53,312.59,280.19,13,1
9223.9,269.13,313.63,280.92,13,1
9363.9,269.7,314.6,281.6,13,1
9513.9,270.32,315.64,282.33,13,1
9653.9,270.9,316.61,283.02,13,1
9793.9,271.48,317.57,283.72,13,1
9943.9,272.12,318.61,284.47,13,1
10084,272.72,319.58,285.17,13,1
10234,273.36,320.62,285.93,13,1
10374,273.97,321.59,286.64,13,1
10514,274.59,322.56,287.36,13,1
10664,275.25,323.6,288.13,13,1
10804,275.88,324.57,288.85,13,1
10954,276.56,325.61,289.63,13,1
11094,277.19,326.58,290.36,13,1
11234,277.84,327.54,291.1,13,1
11384,278.53,328.58,291.89,13,1
11524,279.18,329.55,292.63,13,1
11674,279.89,330.59,293.43,13,1
11814,280.55,331.56,294.18,13,1
11954,281.22,332.53,294.94,13,1
12104,281.94,333.57,295.75,13,1
12244,282.61,334.54,296.51,13,1
12394,283.34,335.58,297.32,13,1
12534,284.03,336.55,298.09,13,1
12674,284.72,337.52,298.86,13,1
12824,285.46,338.56,299.69,13,1
12964,286.16,339.53,300.46,13,1
13114,286.91,340.58,301.29,13,1
13254,287.59,341.55,302.03,13,1
13394,288.28,342.52,302.79,13,1
13544,289.02,343.56,303.6,13,1
13684,289.71,344.53,304.36,13,1
13834,290.45,345.57,305.19,13,1
13974,291.15,346.54,305.96,13,1
14114,291.86,347.51,306.73,13,1
14264,292.61,348.55,307.56,13,1
14400,293.3,349.49,308.32,13,1
