Time (s),T_min (C),T_max (C),T_ave (C),Sequence_ID,Case_No.,TimeN (s),Time_aveN (C)
153.97,100.0,102.06,100.2,4,1,-1.7139061353518437,-1.3922822188548216
293.97,100.0,103.97,100.49,4,1,-1.6802246002042618,-1.3845926595232958
433.97,100.0,105.89,100.86,4,1,-1.64654306505668,-1.374781842445142
583.97,100.01,107.95,101.3,4,1,-1.610455705969985,-1.363114924838689
723.97,100.03,109.87,101.77,4,1,-1.5767741708224035,-1.3506525355772503
873.97,100.06,111.93,102.31,4,1,-1.5406868117357087,-1.3363340457875121
1014.0,100.12,113.86,102.85,4,1,-1.5069980591163095,-1.3220155559977744
1154.0,100.21,115.78,103.42,4,1,-1.4733165239687276,-1.3069015945530507
1304.0,100.33,117.85,104.07,4,1,-1.4372291648820328,-1.2896663753616997
1444.0,100.47,119.77,104.7,4,1,-1.4035476297344511,-1.2729614706070052
1594.0,100.66,121.84,105.41,4,1,-1.3674602706477563,-1.2541353081056832
1734.0,100.86,123.77,106.1,4,1,-1.3337787355001745,-1.235839460041018
1874.0,101.1,125.69,106.81,4,1,-1.3000972003525926,-1.2170132975396957
2024.0,101.4,127.76,107.61,4,1,-1.2640098412658978,-1.1958007200734173
2164.0,101.7,129.69,108.37,4,1,-1.2303283061183161,-1.1756487714804527
2314.0,102.06,131.76,109.22,4,1,-1.1942409470316213,-1.1531104079225318
2454.0,102.43,133.69,110.03,4,1,-1.1605594118840394,-1.131632673237925
2594.0,102.83,135.62,110.87,4,1,-1.1268778767364576,-1.1093594668983324
2744.0,103.29,137.69,111.79,4,1,-1.0907905176497628,-1.084965002812112
2884.0,103.75,139.62,112.67,4,1,-1.057108982502181,-1.0616311675992058
3034.0,104.28,141.69,113.63,4,1,-1.0210216234154863,-1.036176074639672
3174.0,104.8,143.62,114.56,4,1,-0.9873400882679044,-1.011516453335123
3314.0,105.34,145.56,115.49,4,1,-0.9536585531203225,-0.9868568320305745
3464.0,105.95,147.62,116.49,4,1,-0.9175711940336277,-0.9603411101977264
3604.0,106.55,149.56,117.44,4,1,-0.883889658886046,-0.9351511744565206
3754.0,107.22,151.63,118.49,4,1,-0.8478022997993512,-0.9073096665320302
3894.0,107.86,153.56,119.49,4,1,-0.8141207646517694,-0.880793944699182
4034.0,108.53,155.49,120.51,4,1,-0.7804392295041875,-0.8537479084296767
4184.0,109.27,157.56,121.63,4,1,-0.7443518704174927,-0.8240502999768872
4324.0,109.99,159.49,122.69,4,1,-0.710670335269911,-0.7959436348340682
4474.0,110.78,161.57,123.84,4,1,-0.6745829761832162,-0.7654505547262926
4614.0,111.54,163.5,124.93,4,1,-0.6409014410356343,-0.7365484179284881
4754.0,112.32,165.43,126.04,4,1,-0.6072199058880525,-0.7071159666940268
4904.0,113.19,167.5,127.25,4,1,-0.5711325468013577,-0.6750319432762807
5044.0,114.02,169.44,128.39,4,1,-0.537451011653776,-0.6448040203868343
5194.0,114.93,171.51,129.63,4,1,-0.5013636525670812,-0.6119245253141024
5334.0,115.8,173.45,130.8,4,1,-0.46768211741949933,-0.5809011307696696
5474.0,116.7,175.38,131.99,4,1,-0.4340005822719175,-0.5493474217885805
5624.0,117.68,177.45,133.28,4,1,-0.3979132231852227,-0.5151421406242067
5764.0,118.61,179.39,134.5,4,1,-0.3642316880376409,-0.48279295998813204
5914.0,119.63,181.46,135.82,4,1,-0.3281443289509461,-0.44779220716877277
6054.0,120.61,183.4,137.07,4,1,-0.29446279380336426,-0.41464755487771265
6194.0,121.6,185.33,138.33,4,1,-0.26078125865578244,-0.3812377453683235
6344.0,122.68,187.41,139.69,4,1,-0.22469389956908767,-0.3451763636756505
6484.0,123.71,189.34,140.98,4,1,-0.19101236442150588,-0.3109710825112767
6634.0,124.81,191.43,142.32,4,1,-0.15492500533481107,-0.27544001525526013
6774.0,125.83,193.37,143.57,4,1,-0.12124347018722925,-0.24229536296420004
6914.0,126.87,195.3,144.85,4,1,-0.08756193503964745,-0.20835523901815445
7064.0,128.0,197.38,146.22,4,1,-0.05147457595295265,-0.17202870010715243
7204.0,129.07,199.31,147.53,4,1,-0.017793040805370836,-0.13729310450612137
7354.0,130.23,201.39,148.93,4,1,0.018294318281323965,-0.10017109394013389
7494.0,131.33,203.33,150.26,4,1,0.051975853428905774,-0.06490518390244635
7634.0,132.44,205.26,151.6,4,1,0.08565738857648758,-0.029374116646429804
7784.0,133.65,207.34,153.05,4,1,0.12174474766318238,0.009073680011200383
7924.0,134.79,209.27,154.41,4,1,0.1554262828107642,0.0451350617038734
8074.0,136.03,211.35,155.89,4,1,0.19151364189745898,0.08437833001648831
8214.0,137.2,213.29,157.27,4,1,0.2251951770450408,0.12097002614581931
8354.0,138.38,215.23,158.67,4,1,0.2588767121926226,0.15809203671180605
8504.0,139.67,217.3,160.17,4,1,0.2949640712793174,0.19786561946107817
8644.0,140.88,219.24,161.59,4,1,0.3286456064268992,0.2355179444637229
8794.0,142.19,221.32,163.12,4,1,0.364732965513594,0.2760869988679805
8934.0,143.43,223.25,164.55,4,1,0.39841450066117584,0.31400448108895346
9074.0,144.68,225.19,166.0,4,1,0.43209603580875766,0.3524522777465829
9224.0,146.04,227.27,167.56,4,1,0.46818339489545246,0.393816803805826
9364.0,147.31,229.21,169.02,4,1,0.5018649300430342,0.4325297576817844
9514.0,148.7,231.28,170.6,4,1,0.537952289129729,0.47442459817768395
9654.0,150.0,233.22,172.08,4,1,0.5716338242773109,0.5136678664902996
9794.0,151.31,235.18,173.57,4,1,0.6053153594248927,0.5531762920212427
9944.0,152.66,237.26,175.09,4,1,0.6414027185115875,0.5934801892071722
10084.0,153.94,239.2,176.52,4,1,0.6750842536591692,0.6313976714281451
10234.0,155.31,241.27,178.07,4,1,0.711171612745864,0.6724970402690592
10374.0,156.6,243.21,179.52,4,1,0.7448531478934459,0.7109448369266894
10514.0,157.9,245.15,180.99,4,1,0.7785346830410277,0.749922948020976
10664.0,159.3,247.23,182.57,4,1,0.8146220421277225,0.7918177885168757
10804.0,160.62,249.16,184.06,4,1,0.8483035772753043,0.8313262140478195
10954.0,162.04,251.24,185.66,4,1,0.8843909363619991,0.8737513689803763
11094.0,163.38,253.18,187.16,4,1,0.9180724715095809,0.9135249517296484
11234.0,164.72,255.12,188.67,4,1,0.9517540066571627,0.9535636916972489
11384.0,166.18,257.2,190.3,4,1,0.9878413657438575,0.9967843182847919
11524.0,167.55,259.14,191.83,4,1,1.0215229008914393,1.0373533726890496
11674.0,169.02,261.21,193.47,4,1,1.057610259978134,1.08083915649492
11814.0,170.41,263.15,195.02,4,1,1.091291795125716,1.121938525335835
11954.0,171.81,265.09,196.56,4,1,1.1249733302732978,1.1627727369584206
12104.0,173.31,267.17,198.23,4,1,1.1610606893599926,1.2070539924192767
12244.0,174.73,269.11,199.79,4,1,1.1947422245075743,1.2484185184785197
12394.0,176.26,271.19,201.48,4,1,1.230829583594269,1.293230088376033
12534.0,177.69,273.13,203.05,4,1,1.264511118741851,1.334859771653605
12674.0,179.13,275.07,204.64,4,1,1.2981926538894328,1.377019769367833
12824.0,180.69,277.15,206.34,4,1,1.3342800129761276,1.422096496483675
12964.0,182.15,279.09,207.94,4,1,1.3679615481237093,1.4645216514162318
13114.0,183.69,281.2,209.61,4,1,1.404048907210404,1.5088029068770887
13254.0,185.08,283.13,211.13,4,1,1.437730442357986,1.5491068040630172
13394.0,186.49,285.07,212.66,4,1,1.4714119775055678,1.5896758584672748
13544.0,188.0,287.15,214.31,4,1,1.5074993365922627,1.6334267994914744
13684.0,189.41,289.09,215.87,4,1,1.5411808717398445,1.6747913255507174
13834.0,190.94,291.17,217.54,4,1,1.577268230826539,1.7190725810115735
13974.0,192.37,293.11,219.1,4,1,1.610949765974121,1.7604371070708165
14114.0,193.81,295.05,220.68,4,1,1.6446313011217029,1.8023319475667168
14264.0,195.36,297.13,222.37,4,1,1.6807186602083977,1.8471435174642301
14400.0,196.77,299.01,223.91,4,1,1.7134378657803342,1.8879777290868158
