Time (s),T_min (C),T_max (C),T_ave (C),Sequence_ID,Case_No.,TimeN (s),Time_aveN (C)
12964.0,218.4,368.65,257.89,7,1,1.3679615481237093,1.4577981411594023
13114.0,220.57,371.81,260.29,7,1,1.404048907210404,1.5013547013030002
13254.0,222.57,374.71,262.51,7,1,1.437730442357986,1.5416445194358273
13394.0,224.58,377.62,264.74,7,1,1.4714119775055678,1.58211582323592
13544.0,226.75,380.74,267.14,7,1,1.5074993365922627,1.6256723833795168
13684.0,228.79,383.65,269.4,7,1,1.5411808717398445,1.666688144181404
13834.0,230.98,386.76,271.83,7,1,1.577268230826539,1.7107891613267965
13974.0,233.03,389.67,274.12,7,1,1.610949765974121,1.7523493791304792
14114.0,235.1,392.58,276.41,7,1,1.6446313011217029,1.7939095969341619
14264.0,237.33,395.7,278.88,7,1,1.6807186602083977,1.8387365567486136
14400.0,239.36,398.53,281.12,7,1,1.7134378657803342,1.8793893462159712
