Time (s),T_min (C),T_max (C),T_ave (C),Sequence_ID,Case_No.,TimeN (s),Time_aveN (C)
153.97,100.0,103.09,100.3,7,1,-1.7139061353518437,-1.4022344892695526
293.97,100.0,105.96,100.74,7,1,-1.6802246002042618,-1.3942491199098932
433.97,100.0,108.83,101.28,7,1,-1.64654306505668,-1.3844488938775839
583.97,100.01,111.92,101.96,7,1,-1.610455705969985,-1.3721078685035646
723.97,100.04,114.8,102.65,7,1,-1.5767741708224035,-1.3595853574622803
873.97,100.1,117.9,103.46,7,1,-1.5406868117357087,-1.3448850184138164
1014.0,100.18,120.78,104.27,7,1,-1.5069980591163095,-1.3301846793653522
1154.0,100.31,123.67,105.13,7,1,-1.4733165239687276,-1.3145769119805633
1304.0,100.49,126.77,106.1,7,1,-1.4372291648820328,-1.2969728022558593
1444.0,100.7,129.66,107.05,7,1,-1.4035476297344511,-1.2797316638656855
1594.0,100.99,132.76,108.11,7,1,-1.3674602706477563,-1.2604941831355965
1734.0,101.3,135.65,109.15,7,1,-1.3337787355001745,-1.2416196737400376
1874.0,101.66,138.54,110.22,7,1,-1.3000972003525926,-1.222200707342684
2024.0,102.09,141.64,111.41,7,1,-1.2640098412658978,-1.2006039129381505
2164.0,102.55,144.54,112.56,7,1,-1.2303283061183161,-1.1797330612026766
2314.0,103.09,147.64,113.79,7,1,-1.1942409470316213,-1.157410324129083
2454.0,103.64,150.54,114.98,7,1,-1.1605594118840394,-1.1358135297245493
2594.0,104.23,153.43,116.21,7,1,-1.1268778767364576,-1.1134907926509559
2744.0,104.92,156.53,117.56,7,1,-1.0907905176497628,-1.0889902275701824
2884.0,105.6,159.43,118.86,7,1,-1.057108982502181,-1.0653970908257338
3034.0,106.37,162.53,120.29,7,1,-1.0210216234154863,-1.0394446404068403
3174.0,107.13,165.43,121.65,7,1,-0.9873400882679044,-1.014762589658802
3314.0,107.94,168.33,123.05,7,1,-0.9536585531203225,-0.9893545962417036
3464.0,108.84,171.43,124.57,7,1,-0.9175711940336277,-0.9617687748174255
3604.0,109.73,174.33,126.03,7,1,-0.883889658886046,-0.935271867396737
3754.0,110.72,177.43,127.62,7,1,-0.8478022997993512,-0.9064156463016038
3894.0,111.68,180.33,129.13,7,1,-0.8141207646517694,-0.8790113105445906
4034.0,112.69,183.23,130.67,7,1,-0.7804392295041875,-0.8510625177857826
4184.0,113.8,186.34,132.35,7,1,-0.7443518704174927,-0.8205729256852643
4324.0,114.88,189.24,133.94,7,1,-0.710670335269911,-0.7917167045901311
4474.0,116.05,192.36,135.61,7,1,-0.6745829761832162,-0.7614085981568777
4614.0,117.17,195.26,137.2,7,1,-0.6409014410356343,-0.7325523770617449
4754.0,118.32,198.16,138.81,7,1,-0.6072199058880525,-0.7033331846320815
4904.0,119.58,201.27,140.57,7,1,-0.5711325468013577,-0.6713917071934438
5044.0,120.79,204.17,142.24,7,1,-0.537451011653776,-0.6410836007601903
5194.0,122.11,207.28,144.06,7,1,-0.5013636525670812,-0.6080532093179625
5334.0,123.38,210.18,145.78,7,1,-0.46768211741949933,-0.5768376745483845
5474.0,124.68,213.08,147.52,7,1,-0.4340005822719175,-0.5452591684442764
5624.0,126.1,216.19,149.41,7,1,-0.3979132231852227,-0.5109583773311938
5764.0,127.45,219.09,151.2,7,1,-0.3642316880376409,-0.4784724428907609
5914.0,128.94,222.2,153.14,7,1,-0.3281443289509461,-0.4432642234413532
6054.0,130.35,225.1,154.97,7,1,-0.29446279380336426,-0.41005234633186005
6194.0,131.79,228.01,156.82,7,1,-0.26078125865578244,-0.37647749788783724
6344.0,133.37,231.12,158.83,7,1,-0.22469389956908767,-0.3399988787675742
6484.0,134.86,234.02,160.72,7,1,-0.19101236442150588,-0.3056980876544916
6634.0,136.45,237.16,162.69,7,1,-0.15492500533481107,-0.26994541120328885
6774.0,137.94,240.06,164.53,7,1,-0.12124347018722925,-0.23655204842653088
6914.0,139.45,242.96,166.4,7,1,-0.08756193503964745,-0.20261422864797793
7064.0,141.09,246.07,168.43,7,1,-0.05147457595295265,-0.16577263819318525
7204.0,142.65,248.98,170.34,7,1,-0.017793040805370836,-0.13110887574557248
7354.0,144.34,252.09,172.42,7,1,0.018294318281323965,-0.09335985695445513
7494.0,145.93,254.99,174.37,7,1,0.051975853428905774,-0.05797015183778205
7634.0,147.55,257.9,176.34,7,1,0.08565738857648758,-0.022217475386579318
7784.0,149.31,261.01,178.47,7,1,0.12174474766318238,0.01643897174086317
7924.0,150.97,263.92,180.48,7,1,0.1554262828107642,0.05291759086112571
8074.0,152.78,267.03,182.65,7,1,0.19151364189745898,0.09229998065762852
8214.0,154.48,269.94,184.69,7,1,0.2251951770450408,0.12932305677968606
8354.0,156.21,272.84,186.75,7,1,0.2588767121926226,0.16670910423627375
8504.0,158.09,275.96,188.97,7,1,0.2949640712793174,0.2069989223691012
8644.0,159.86,278.86,191.06,7,1,0.3286456064268992,0.24492942682748386
8794.0,161.71,282.01,193.22,7,1,0.364732965513594,0.28413033095672136
8934.0,163.44,284.91,195.24,7,1,0.39841450066117584,0.3207904357442492
9074.0,165.19,287.82,197.27,7,1,0.43209603580875766,0.35763202619904194
9224.0,167.08,290.93,199.48,7,1,0.46818339489545246,0.39774035866460405
9364.0,168.85,293.84,201.55,7,1,0.5018649300430342,0.4353078917884571
9514.0,170.77,296.95,203.79,7,1,0.537952289129729,0.47596068125581414
9654.0,172.58,299.86,205.9,7,1,0.5716338242773109,0.514254157048727
9794.0,174.41,302.76,208.02,7,1,0.6053153594248927,0.5527291185089047
9944.0,176.39,305.88,210.3,7,1,0.6414027185115875,0.5941078506453221
10084.0,178.25,308.79,212.45,7,1,0.6750842536591692,0.6331272691072942
10234.0,180.26,311.9,214.77,7,1,0.711171612745864,0.675231943912772
10374.0,182.16,314.81,216.95,7,1,0.7448531478934459,0.7147958193765391
10514.0,184.07,317.72,219.14,7,1,0.7785346830410277,0.7545411805075716
10664.0,186.14,320.83,221.49,7,1,0.8146220421277225,0.7971903123148443
10804.0,188.08,323.74,223.71,7,1,0.8483035772753043,0.8374801304476718
10954.0,190.12,326.89,226.01,7,1,0.8843909363619991,0.8792218339186189
11094.0,192.0,329.8,228.14,7,1,0.9180724715095809,0.9178782810460613
11234.0,193.89,332.71,230.29,7,1,0.9517540066571627,0.9568976995080339
11384.0,195.94,335.82,232.61,7,1,0.9878413657438575,0.9990023743135117
11524.0,197.86,338.73,234.79,7,1,1.0215229008914393,1.0385662497772787
11674.0,199.93,341.84,237.14,7,1,1.057610259978134,1.081215381584551
11814.0,201.88,344.75,239.34,7,1,1.091291795125716,1.121142228382849
11954.0,203.84,347.66,241.56,7,1,1.1249733302732978,1.1614320465156762
12104.0,205.96,350.78,243.95,7,1,1.1610606893599926,1.2048071209920084
12244.0,207.95,353.69,246.19,7,1,1.1947422245075743,1.245459910459366
12394.0,210.1,356.8,248.61,7,1,1.230829583594269,1.2893794419374935
12534.0,212.12,359.71,250.87,7,1,1.264511118741851,1.3303952027393806
12674.0,214.15,362.62,253.15,7,1,1.2981926538894328,1.371773934875798
12824.0,216.34,365.74,255.6,7,1,1.3342800129761276,1.41623792335572
