Time (s),T_min (C),T_max (C),T_ave (C),Sequence_ID,Case_No.,TimeN (s),Time_aveN (C)
153.97,100.0,102.57,100.25,5,1,-1.7139061353518437,-1.3974658053067421
293.97,100.0,104.96,100.62,5,1,-1.6802246002042618,-1.3895113058957427
433.97,100.0,107.36,101.07,5,1,-1.64654306505668,-1.379836914720203
583.97,100.01,109.93,101.63,5,1,-1.610455705969985,-1.3677976723684198
723.97,100.03,112.34,102.21,5,1,-1.5767741708224035,-1.3553284570755018
873.97,100.08,114.91,102.88,5,1,-1.5406868117357087,-1.3409243635474757
1014.0,100.15,117.32,103.56,5,1,-1.5069980591163095,-1.3263052835488818
1154.0,100.26,119.73,104.27,5,1,-1.4733165239687276,-1.3110412441385857
1304.0,100.41,122.31,105.08,5,1,-1.4372291648820328,-1.2936273400226137
1444.0,100.59,124.72,105.88,5,1,-1.4035476297344511,-1.2764284223772093
1594.0,100.82,127.3,106.76,5,1,-1.3674602706477563,-1.2575096129672645
1734.0,101.08,129.71,107.62,5,1,-1.3337787355001745,-1.2390207764984549
1874.0,101.38,132.12,108.52,5,1,-1.3000972003525926,-1.2196719941473753
2024.0,101.74,134.7,109.51,5,1,-1.2640098412658978,-1.1983883335611871
2164.0,102.13,137.11,110.47,5,1,-1.2303283061183161,-1.177749632386702
2314.0,102.58,139.7,111.52,5,1,-1.1942409470316213,-1.1551760529771091
2454.0,103.04,142.11,112.54,5,1,-1.1605594118840394,-1.1332474329792184
2594.0,103.54,144.52,113.59,5,1,-1.1268778767364576,-1.1106738535696252
2744.0,104.11,147.11,114.7,5,1,-1.0907905176497628,-1.0868103553366268
2884.0,104.68,149.53,115.77,5,1,-1.057108982502181,-1.0638068029858987
3034.0,105.33,152.11,116.95,5,1,-1.0210216234154863,-1.038438399458927
3174.0,105.97,154.53,118.08,5,1,-0.9873400882679044,-1.0141449282847936
3314.0,106.64,156.94,119.24,5,1,-0.9536585531203225,-0.9892064976989574
3464.0,107.4,159.53,120.51,5,1,-0.9175711940336277,-0.9619032159368779
3604.0,108.14,161.94,121.72,5,1,-0.883889658886046,-0.9358898529982039
3754.0,108.96,164.53,123.04,5,1,-0.8478022997993512,-0.9075116388832867
3894.0,109.77,166.94,124.3,5,1,-0.8141207646517694,-0.8804233435917751
4034.0,110.6,169.36,125.58,5,1,-0.7804392295041875,-0.8529050753591282
4184.0,111.53,171.95,126.98,5,1,-0.7443518704174927,-0.8228069694796705
4324.0,112.42,174.37,128.31,5,1,-0.710670335269911,-0.7942137688941859
4474.0,113.42,176.96,129.75,5,1,-0.6745829761832162,-0.7632557171324582
4614.0,114.37,179.37,131.12,5,1,-0.6409014410356343,-0.7338025706647032
4754.0,115.35,181.79,132.51,5,1,-0.6072199058880525,-0.7039194512558135
4904.0,116.44,184.38,134.02,5,1,-0.5711325468013577,-0.6714564942001124
5044.0,117.48,186.8,135.45,5,1,-0.537451011653776,-0.6407134289089527
5194.0,118.62,189.39,137.01,5,1,-0.5013636525670812,-0.6071755395004143
5334.0,119.69,191.82,138.42,5,1,-0.46768211741949933,-0.5768624471503893
5474.0,120.78,194.24,139.85,5,1,-0.4340005822719175,-0.5461193818592288
5624.0,121.97,196.83,141.4,5,1,-0.3979132231852227,-0.5127964789212578
5764.0,123.1,199.25,142.88,5,1,-0.3642316880376409,-0.48097848127726
5914.0,124.33,201.84,144.48,5,1,-0.3281443289509461,-0.44658064598645153
6054.0,125.51,204.26,145.99,5,1,-0.29446279380336426,-0.41411768893075046
6194.0,126.7,206.68,147.52,5,1,-0.26078125865578244,-0.38122475893391466
6344.0,128.0,209.27,149.19,5,1,-0.22469389956908767,-0.34532201834913345
6484.0,129.24,211.69,150.75,5,1,-0.19101236442150588,-0.311784128940595
6634.0,130.59,214.28,152.45,5,1,-0.15492500533481107,-0.2752364289441111
6774.0,131.87,216.7,154.05,5,1,-0.12124347018722925,-0.24083859365330196
6914.0,133.17,219.12,155.67,5,1,-0.08756193503964745,-0.20601078542135876
7064.0,134.59,221.71,157.42,5,1,-0.05147457595295265,-0.1683881530720368
7204.0,135.93,224.14,159.06,5,1,-0.017793040805370836,-0.13313037189895766
7354.0,137.4,226.73,160.84,5,1,0.018294318281323965,-0.09486278013793303
7494.0,138.78,229.15,162.52,5,1,0.051975853428905774,-0.058745053082583834
7634.0,140.19,231.57,164.21,5,1,0.08565738857648758,-0.022412339556667275
7784.0,141.71,234.17,166.04,5,1,0.12174474766318238,0.016930184557194746
7924.0,143.11,236.61,167.69,5,1,0.1554262828107642,0.05240295220084126
8074.0,144.61,239.2,169.45,5,1,0.19151364189745898,0.09024057102073055
8214.0,146.02,241.62,171.12,5,1,0.2251951770450408,0.1261433116055124
8354.0,147.45,244.04,172.81,5,1,0.2588767121926226,0.16247602513142895
8504.0,149.0,246.64,174.63,5,1,0.2949640712793174,0.20160356277472363
8644.0,150.45,249.06,176.35,5,1,0.3286456064268992,0.23858123571234285
8794.0,152.03,251.65,178.2,5,1,0.364732965513594,0.2783537327673402
8934.0,153.52,254.08,179.94,5,1,0.39841450066117584,0.31576137864609477
9074.0,155.02,256.5,181.7,5,1,0.43209603580875766,0.35359899746598406
9224.0,156.65,259.09,183.6,5,1,0.46818339489545246,0.3944464268738194
9364.0,158.19,261.52,185.38,5,1,0.5018649300430342,0.43271401863484404
9514.0,159.85,264.11,187.3,5,1,0.537952289129729,0.47399142098381475
9654.0,161.41,266.54,189.1,5,1,0.5716338242773109,0.5126889856859741
9794.0,162.99,268.96,190.92,5,1,0.6053153594248927,0.5518165233292688
9944.0,164.7,271.55,192.88,5,1,0.6414027185115875,0.5939538715605095
10084.0,166.31,273.98,194.72,5,1,0.6750842536591692,0.6335113821449395
10234.0,168.05,276.57,196.7,5,1,0.711171612745864,0.6760787033173149
10374.0,169.69,279.0,198.56,5,1,0.7448531478934459,0.7160661868428803
10514.0,171.3,281.45,200.37,5,1,0.7785346830410277,0.7549787380156076
10664.0,173.0,284.05,202.28,5,1,0.8146220421277225,0.7960411538940103
10804.0,174.59,286.47,204.08,5,1,0.8483035772753043,0.8347387185961702
10954.0,176.32,289.06,206.02,5,1,0.8843909363619991,0.8764460938862756
11094.0,177.93,291.49,207.85,5,1,0.9180724715095809,0.9157886180001377
11234.0,179.56,293.91,209.69,5,1,0.9517540066571627,0.9553461285845677
11384.0,181.32,296.51,211.67,5,1,0.9878413657438575,0.9979134497569431
11524.0,182.97,298.93,213.53,5,1,1.0215229008914393,1.0379009332825084
11674.0,184.75,301.53,215.53,5,1,1.057610259978134,1.0808982273960193
11814.0,186.43,303.95,217.41,5,1,1.091291795125716,1.1213156838627192
11954.0,188.11,306.37,219.3,5,1,1.1249733302732978,1.1619481267999872
12104.0,189.93,308.97,221.34,5,1,1.1610606893599926,1.205805366795768
12244.0,191.64,311.4,223.25,5,1,1.1947422245075743,1.2468677826741708
12394.0,193.49,313.99,225.3,5,1,1.230829583594269,1.2909400091405197
12534.0,195.22,316.42,227.23,5,1,1.264511118741851,1.332432397960057
12674.0,196.97,318.84,229.17,5,1,1.2981926538894328,1.3741397732501623
12824.0,198.85,321.44,231.25,5,1,1.3342800129761276,1.4188569591282139
12964.0,200.62,323.87,233.2,5,1,1.3679615481237093,1.4607793208888866
13114.0,202.48,326.5,235.25,5,1,1.404048907210404,1.5048515473552355
13254.0,204.18,328.92,237.12,5,1,1.437730442357986,1.545054017351368
13394.0,205.89,331.34,239.01,5,1,1.4714119775055678,1.5856864602886356
13544.0,207.73,333.94,241.04,5,1,1.5074993365922627,1.629328713813849
13684.0,209.46,336.37,242.95,5,1,1.5411808717398445,1.6703911296922518
13834.0,211.32,338.96,245.0,5,1,1.577268230826539,1.7144633561586005
13974.0,213.07,341.39,246.93,5,1,1.610949765974121,1.7559557449781384
14114.0,214.82,343.81,248.87,5,1,1.6446313011217029,1.797663120268244
14264.0,216.71,346.41,250.95,5,1,1.6807186602083977,1.8423803061462949
14400.0,218.44,348.77,252.85,5,1,1.7134378657803342,1.8832277355541303
