Time (s),T_min (C),T_max (C),T_ave (C),Sequence_ID,Case_No.
153.94,140,141.03,140.1,9,1
293.94,140,141.99,140.24,9,1
433.94,140,142.94,140.42,9,1
583.94,140,143.97,140.63,9,1
723.94,140.01,144.93,140.86,9,1
873.94,140.03,145.97,141.12,9,1
1013.9,140.05,146.93,141.38,9,1
1153.9,140.08,147.89,141.66,9,1
1303.9,140.14,148.92,141.98,9,1
1443.9,140.2,149.89,142.29,9,1
1593.9,140.28,150.92,142.63,9,1
1733.9,140.37,151.88,142.96,9,1
1873.9,140.48,152.85,143.31,9,1
2023.9,140.61,153.88,143.7,9,1
2163.9,140.75,154.85,144.07,9,1
2313.9,140.91,155.88,144.48,9,1
2453.9,141.08,156.84,144.87,9,1
2593.9,141.26,157.81,145.28,9,1
2743.9,141.47,158.84,145.72,9,1
2883.9,141.68,159.81,146.15,9,1
3033.9,141.92,160.84,146.62,9,1
3173.9,142.16,161.81,147.06,9,1
3313.9,142.41,162.77,147.52,9,1
3463.9,142.7,163.81,148.02,9,1
3603.9,142.98,164.78,148.49,9,1
3753.9,143.29,165.81,149.01,9,1
3893.9,143.6,166.78,149.51,9,1
4033.9,143.92,167.74,150.01,9,1
4183.9,144.27,168.78,150.56,9,1
4323.9,144.61,169.74,151.08,9,1
4473.9,144.99,170.78,151.65,9,1
4613.9,145.36,171.75,152.19,9,1
4753.9,145.73,172.71,152.73,9,1
4903.9,146.15,173.75,153.33,9,1
5043.9,146.55,174.72,153.89,9,1
5193.9,146.99,175.75,154.5,9,1
5333.9,147.41,176.72,155.08,9,1
5473.9,147.84,177.69,155.66,9,1
5623.9,148.31,178.72,156.29,9,1
5763.9,148.76,179.69,156.89,9,1
5913.9,149.26,180.73,157.54,9,1
6053.9,149.73,181.7,158.15,9,1
6193.9,150.21,182.66,158.77,9,1
6343.9,150.73,183.7,159.44,9,1
6483.9,151.23,184.67,160.08,9,1
6633.9,151.77,185.71,160.74,9,1
6773.9,152.27,186.68,161.36,9,1
6913.9,152.78,187.65,161.99,9,1
7063.9,153.34,188.69,162.67,9,1
7203.9,153.86,189.65,163.32,9,1
7353.9,154.43,190.69,164.01,9,1
7493.9,154.97,191.66,164.67,9,1
7633.9,155.52,192.63,165.33,9,1
7783.9,156.11,193.66,166.05,9,1
7923.9,156.67,194.63,166.73,9,1
8073.9,157.28,195.67,167.46,9,1
8213.9,157.86,196.64,168.14,9,1
8353.9,158.44,197.61,168.83,9,1
8503.9,159.07,198.65,169.58,9,1
8643.9,159.66,199.62,170.28,9,1
8793.9,160.31,200.65,171.04,9,1
8933.9,160.92,201.62,171.75,9,1
9073.9,161.53,202.59,172.46,9,1
9223.9,162.2,203.63,173.24,9,1
9363.9,162.83,204.6,173.96,9,1
9513.9,163.51,205.64,174.74,9,1
9653.9,164.15,206.61,175.48,9,1
9793.9,164.8,207.58,176.21,9,1
9943.9,165.5,208.61,177.01,9,1
10084,166.15,209.58,177.76,9,1
10234,166.87,210.62,178.56,9,1
10374,167.54,211.59,179.32,9,1
10514,168.21,212.56,180.08,9,1
10664,168.94,213.6,180.89,9,1
10804,169.63,214.57,181.66,9,1
10954,170.37,215.61,182.48,9,1
11094,171.06,216.58,183.26,9,1
11234,171.76,217.55,184.04,9,1
11384,172.52,218.59,184.87,9,1
11524,173.23,219.56,185.66,9,1
11674,174,220.6,186.5,9,1
11814,174.72,221.57,187.29,9,1
11954,175.44,222.54,188.09,9,1
12104,176.22,223.58,188.94,9,1
12244,176.96,224.55,189.74,9,1
12394,177.75,225.59,190.61,9,1
12534,178.49,226.56,191.41,9,1
12674,179.24,227.53,192.22,9,1
12824,180.04,228.57,193.09,9,1
12964,180.8,229.54,193.91,9,1
13114,181.6,230.59,194.77,9,1
13254,182.32,231.56,195.55,9,1
13394,183.05,232.53,196.33,9,1
13544,183.83,233.57,197.17,9,1
13684,184.56,234.54,197.96,9,1
13834,185.35,235.58,198.82,9,1
13974,186.08,236.55,199.61,9,1
14114,186.82,237.52,200.42,9,1
14264,187.62,238.56,201.28,9,1
14400,188.35,239.5,202.07,9,1
