Time (s),T_min (C),T_max (C),T_ave (C),Sequence_ID,Case_No.,TimeN (s),Time_aveN (C)
153.71,100,101.03,100.1,2,1,-1.713875244,-1.380516162
293.71,100,101.99,100.25,2,1,-1.680194577,-1.372779288
433.71,100,102.94,100.43,2,1,-1.646513911,-1.36349504
583.71,100,103.97,100.65,2,1,-1.610427483,-1.352147625
723.71,100.01,104.93,100.88,2,1,-1.576746817,-1.340284419
873.71,100.03,105.97,101.15,2,1,-1.540660389,-1.326358046
1013.7,100.06,106.93,101.42,2,1,-1.506982129,-1.312431673
1153.7,100.1,107.89,101.71,2,1,-1.473301463,-1.297473718
1303.7,100.16,108.92,102.03,2,1,-1.437215035,-1.280968387
1443.7,100.23,109.89,102.35,2,1,-1.403534368,-1.264463057
1593.7,100.33,110.92,102.7,2,1,-1.36744794,-1.246410351
1733.7,100.43,111.88,103.05,2,1,-1.333767274,-1.228357646
1873.7,100.55,112.85,103.41,2,1,-1.300086608,-1.209789149
2023.7,100.7,113.88,103.8,2,1,-1.26400018,-1.189673278
2163.7,100.85,114.85,104.19,2,1,-1.230319514,-1.169557406
2313.7,101.03,115.88,104.61,2,1,-1.194233086,-1.14789416
2453.7,101.21,116.84,105.02,2,1,-1.16055242,-1.126746705
2593.7,101.41,117.81,105.43,2,1,-1.126871754,-1.10559925
2743.7,101.64,118.84,105.89,2,1,-1.090785326,-1.081872838
2883.7,101.88,119.81,106.33,2,1,-1.057104659,-1.059178008
3033.7,102.14,120.84,106.82,2,1,-1.021018231,-1.033904221
3173.7,102.4,121.81,107.28,2,1,-0.9873375653,-1.010177808
3313.7,102.67,122.77,107.75,2,1,-0.9536568992,-0.9859356038
3463.7,102.98,123.81,108.27,2,1,-0.9175704711,-0.9591144416
3603.7,103.28,124.77,108.76,2,1,-0.883889805,-0.9338406543
3753.7,103.62,125.81,109.29,2,1,-0.847803377,-0.9065037006
3893.7,103.95,126.78,109.81,2,1,-0.8141227108,-0.8796825384
4033.7,104.29,127.74,110.33,2,1,-0.7804420447,-0.8528613763
4183.7,104.67,128.78,110.89,2,1,-0.7443556167,-0.8239770479
4323.7,105.03,129.74,111.43,2,1,-0.7106749505,-0.7961243026
4473.7,105.44,130.78,112.02,2,1,-0.6745885225,-0.7656925994
4613.7,105.83,131.75,112.57,2,1,-0.6409078564,-0.7373240626
4753.7,106.23,132.71,113.13,2,1,-0.6072271902,-0.7084397341
4903.7,106.67,133.75,113.75,2,1,-0.5711407622,-0.6764606562
5043.7,107.1,134.72,114.33,2,1,-0.5374600961,-0.6465447446
5193.7,107.57,135.75,114.96,2,1,-0.5013736681,-0.6140498751
5333.7,108.01,136.72,115.55,2,1,-0.4676930019,-0.5836181719
5473.7,108.47,137.69,116.16,2,1,-0.4340123358,-0.5521548856
5623.7,108.97,138.73,116.81,2,1,-0.3979259078,-0.518628433
5763.7,109.45,139.69,117.43,2,1,-0.3642452416,-0.486649355
5913.7,109.97,140.73,118.1,2,1,-0.3281588136,-0.4520913192
6053.7,110.47,141.7,118.73,2,1,-0.2944781475,-0.4195964497
6193.7,110.97,142.67,119.37,2,1,-0.2607974813,-0.3865857887
6343.7,111.53,143.7,120.06,2,1,-0.2247110533,-0.3509961697
6483.7,112.05,144.67,120.71,2,1,-0.1910303872,-0.317469717
6633.7,112.62,145.71,121.4,2,1,-0.1549439591,-0.2818800981
6773.7,113.15,146.68,122.04,2,1,-0.121263293,-0.248869437
6913.7,113.69,147.65,122.68,2,1,-0.08758262686,-0.2158587759
7063.7,114.27,148.69,123.39,2,1,-0.05149619885,-0.1792375738
7203.7,114.83,149.65,124.05,2,1,-0.0178155327,-0.1451953296
7353.7,115.42,150.69,124.77,2,1,0.01827089531,-0.1080583359
7493.7,115.99,151.66,125.45,2,1,0.05195156145,-0.07298450847
7633.7,116.56,152.63,126.13,2,1,0.0856322276,-0.03791068108
7783.7,117.19,153.67,126.87,2,1,0.1217186556,0.0002578957896
7923.7,117.78,154.64,127.57,2,1,0.1553993218,0.03636330634
