Time (s),T_min (C),T_max (C),T_ave (C),Sequence_ID,Case_No.,TimeN (s),Time_aveN (C)
153.96,120.0,121.03,120.1,8,1,-1.713907994031875,-1.3796501766266294
293.96,120.0,121.99,120.24,8,1,-1.680226466799965,-1.3723294685995628
433.96,120.0,122.94,120.42,8,1,-1.6465449395680547,-1.3629171297076197
583.96,120.0,123.97,120.64,8,1,-1.6104575889624368,-1.351413159950801
723.96,120.01,124.93,120.87,8,1,-1.5767760617305266,-1.339386282477763
873.96,120.03,125.97,121.14,8,1,-1.5406887111249086,-1.325267774139849
1014.0,120.06,126.93,121.4,8,1,-1.5069975605995036,-1.311672173518154
1154.0,120.09,127.89,121.69,8,1,-1.4733160333675934,-1.2965078497478024
1304.0,120.15,128.92,122.01,8,1,-1.4372286827619756,-1.2797748028287927
1444.0,120.22,129.89,122.32,8,1,-1.4035471555300654,-1.2635646636260034
1594.0,120.3,130.92,122.67,8,1,-1.3674598049244473,-1.2452628935583365
1734.0,120.4,131.88,123.01,8,1,-1.333778277692537,-1.227484031206889
1874.0,120.52,132.85,123.36,8,1,-1.3000967504606271,-1.2091822611392231
2024.0,120.65,133.88,123.75,8,1,-1.264009399855009,-1.1887888602066807
2164.0,120.8,134.85,124.13,8,1,-1.2303278726230988,-1.1689183669903576
2314.0,120.97,135.88,124.55,8,1,-1.1942405220174808,-1.146956242909158
2454.0,121.15,136.84,124.95,8,1,-1.1605589947855708,-1.1260399342603962
2594.0,121.34,137.81,125.36,8,1,-1.1268774675536606,-1.104600717895416
2744.0,121.56,138.84,125.81,8,1,-1.0907901169480425,-1.0810698706655593
2884.0,121.78,139.81,126.24,8,1,-1.0571085897161323,-1.058584838868141
3034.0,122.03,140.84,126.72,8,1,-1.0210212391105145,-1.033485268489627
3174.0,122.28,141.81,127.17,8,1,-0.9873397118786043,-1.0099544212597702
3314.0,122.55,142.77,127.64,8,1,-0.9536581846466942,-0.9853777585974756
3464.0,122.84,143.81,128.15,8,1,-0.9175708340410761,-0.9587094650703045
3604.0,123.13,144.78,128.63,8,1,-0.883889306809166,-0.9336098946917912
3754.0,123.46,145.81,129.16,8,1,-0.8478019562035479,-0.9058957857321823
